subset,sex,length,diameter,height,weight_whole,weight_shucked,weight_viscera,weight_shell,rings,price
train,I,0.3495442836075593,0.26019409063340865,0.07450385917388634,0.17996298627430313,0.08970693848529737,0.02475995078321355,0.05451619299598643,5,1.2057209239689892
train,F,0.5452490400598211,0.43986563707268556,0.13491453166590858,0.9181320865336488,0.42898335176062724,0.2017510973532418,0.23783980302840652,10,18.40346328354361
test,F,0.6496535141508883,0.5445448081647835,0.17507972770658986,1.5244591287759217,0.5901336666068997,0.32597014033071386,0.49550588870310874,10,31.455766918955565
train,I,0.5000031723831203,0.3945664355082028,0.14091221419774969,0.6211332647189362,0.2923355514264357,0.12016472057501573,0.19542938700878212,9,5.647746545583447
train,I,0.4392682977986804,0.3350011731152466,0.11004000410485486,0.3894290703602096,0.17515685314729657,0.08327886605627027,0.11089896004705041,7,1.966989153843448
train,I,0.294595982218274,0.22001332040471716,0.08489935081104154,0.12934951817468038,0.05816663371626033,0.027437195356401444,0.036808513052365384,5,0.22925120434994817
train,I,0.47525856447868625,0.3646121612694953,0.12031265787310877,0.518502174532958,0.26803131336312497,0.10930285686818579,0.13660145991446201,8,4.142997481481382
train,M,0.5498851684498219,0.4511428351283967,0.1491538427515718,1.014219209800224,0.4078242887160404,0.20191973620193326,0.28703600370833116,10,16.212238046939042
train,I,0.4648340140721907,0.3552619356754978,0.11932551336411067,0.580638048197631,0.2549725143750382,0.09154540344779631,0.18399522768371449,8,7.455882977602827
test,I,0.37985856865119744,0.2901541651280282,0.10012711387167561,0.23679682137549862,0.10793562964812983,0.03983818661565182,0.08219978731940084,6,2.284661007208894
train,F,0.6194904967697658,0.4747980664219676,0.1754814171978667,1.0169418014040768,0.4355550034702037,0.21438781669687682,0.32532802196024413,10,20.274994480363002
train,I,0.5101064816217241,0.39938938214232356,0.12472336042025578,0.5931654665766269,0.2387970604243121,0.12953450398429162,0.204076192070553,8,6.862081608925762
train,I,0.4951515766779599,0.3805461382741507,0.12956873627100532,0.5125090521508824,0.21833236904410663,0.11556232628189914,0.16039282972234578,7,5.50569508492869
test,I,0.4852145162139553,0.39020306690128564,0.12491422243497419,0.5908282776346153,0.2871125705191596,0.14122846560408978,0.11995180303255475,9,6.301808423251504
train,I,0.4994469331569435,0.37956653374923127,0.110224281142181,0.561692984632044,0.27982323289415606,0.10657692221979181,0.15040371926099014,9,5.090113469552746
test,I,0.4049940748548778,0.3098770677927319,0.10999221298660924,0.9105277565647995,0.41566927606850657,0.20804780312158896,0.09934372672556188,8,8.615837095216552
test,F,0.5748613200744149,0.4700014510679707,0.15528347294769176,1.1160438931842094,0.5098482828787386,0.23868014546647304,0.33930836486414173,10,22.108900573519
